polarity,id,date,query,user,tweet,cleaned_tweet
0,2050874460,Fri Jun 05 19:26:58 PDT 2009,NO_QUERY,texanscowgirl,My mouth hurts bad!       .... can barely talk,mouth hurt bad barely talk
0,2327247591,Thu Jun 25 08:06:20 PDT 2009,NO_QUERY,CJ252,I am on the air and sooooooooo Hungry!!!! I don't think I can make it until 2 ,I air hungry I not think I make
0,2222274785,Thu Jun 18 06:45:07 PDT 2009,NO_QUERY,Waaahsabi,"@alwh Yes indeed, and there seems to be lots of updates, some disputing going on within one of the parties etc...at work, cant follow all ",yes indeed seem lot update dispute go within one party etat work follow
0,2065714088,Sun Jun 07 09:08:50 PDT 2009,NO_QUERY,clarissabby,Derrick does back to work today  and I'm just freakin sad about that.,berwick back work today I break sad
0,2243974296,Fri Jun 19 14:08:22 PDT 2009,NO_QUERY,mzprettieyez,got a tummy ache ,get mummy ache
0,2180138192,Mon Jun 15 10:03:42 PDT 2009,NO_QUERY,bfftaylor,@unjames I miss the puppy!  oh you too! ;) going back tonight for computer.,jame I miss puppy oh go back tonight computer
0,2049160248,Fri Jun 05 16:24:01 PDT 2009,NO_QUERY,WgtnCoffeeCup,Not liking consumer mag's new website  Plus their freeview reports are practically from the dinosaur age. An update is way overdue!,not like consumer mass new webster plus review report practically dinosaur age update way overdue
0,1573839696,Tue Apr 21 03:06:03 PDT 2009,NO_QUERY,danielm,@TheKingOfSpain Too many wrinkles ,thekingofspain many wrinkle
0,1827553022,Sun May 17 10:57:24 PDT 2009,NO_QUERY,flor2009,"@TrudyG I'm sry. It's a very sad moment when that happens. My dog died in 2007, he was 15  But that's not gonna hapen 2 U dog, not now...",truly I say sad moment happen dog die not na happen u dog not
0,2225333300,Thu Jun 18 10:35:33 PDT 2009,NO_QUERY,Ze_cucumber,Allergies suck more than a vaccume at a dirt convention ,gallery suck acute dirt convention
0,2196001919,Tue Jun 16 11:53:43 PDT 2009,NO_QUERY,katarin,the shirt i'm wearing didn't dry properly so now i am sweating &amp; it smells like dirty water. i'm gonna be the smelly girl at orientation. ,shirt I wear not dry properly I sweat amp smell like dirty water I na smell girl orientation
0,2001101471,Mon Jun 01 23:50:43 PDT 2009,NO_QUERY,BKsKB,@MARKtheKAWZ word  i wanted to go,markthekawz word I want go
0,2323149513,Thu Jun 25 00:00:50 PDT 2009,NO_QUERY,SandiMon,"@BillHarper sorry Bill, didn't anyone tell you? that's an MIL requirement- it's written in the constitution. ",bilharper sorry bill not anyone tell mild requirement write constitution
0,2068683766,Sun Jun 07 14:30:47 PDT 2009,NO_QUERY,LndnMikey,Sad news and a sad day!! What will we do without Margaret on the Apprentice next year!  #fb,sad news sad day without margaret apprentice next year ff
0,1962730414,Fri May 29 11:33:09 PDT 2009,NO_QUERY,JessicaLG717,"@justinchon great. so you're saying *I'm* old, being 28 and all?? ",justinchon great say I old
0,2325016455,Thu Jun 25 04:34:46 PDT 2009,NO_QUERY,MolkosPrincess,@bangbanglou: Any news about you BS??? ,bangbanglou news
0,2057112707,Sat Jun 06 12:23:42 PDT 2009,NO_QUERY,RachAnn87,Windsor Drive is leaving ,windsor drive leave
0,2178045954,Mon Jun 15 07:06:47 PDT 2009,NO_QUERY,lusciousasnaked,"Reading Debito's debate without have watched/read the interview is still interesting, but I think I should watch/listen it, at least  baka",read debt debate without watchedread interview still interesting I think I watchlisten least bake
0,2285286884,Mon Jun 22 14:56:36 PDT 2009,NO_QUERY,danwooller,"@mrsmulwray Sadly, that's the answer every time I ask a woman a question ",mrsmulwray sadly answer every time I ask woman question
0,1759088484,Sun May 10 18:26:06 PDT 2009,NO_QUERY,MsReddawn,so enjoyed mother's day wishing i could have been with my own mom tho.. ,enjoy mother day wish I could mon
0,1997559934,Mon Jun 01 17:03:45 PDT 2009,NO_QUERY,sheenamariebee,@deannie Oh my garsh! Soc Stardom 3 is going on NOW?!? I've really been outta the Twitter loop ,deane oh harsh stardom go I really twitter loop
0,1825403171,Sun May 17 05:34:19 PDT 2009,NO_QUERY,fastdawg,Damn I only had 3 followers and I had to block one of them due to them pedalling adult material. Now im just so lonely with 2 friends ,damn I follower I block one due recall adult material lonely friend
0,2049752001,Fri Jun 05 17:26:13 PDT 2009,NO_QUERY,xmerona4lifex,Im bores and hoping to get my facebook bakkkk ,boris hope get facebok back
0,2247707702,Fri Jun 19 19:30:11 PDT 2009,NO_QUERY,meila_moo,it seems i have a little case of kitty dandruff ,seem I little case kitty dandruff
0,2245723901,Fri Jun 19 16:32:48 PDT 2009,NO_QUERY,musicwithannie,I really need a Caramel Macchiato from Starbucks right now. I'm so tired ,I really need calomel machiato starbuck right I tired
0,1932960446,Tue May 26 22:38:16 PDT 2009,NO_QUERY,ifooch,@emmapattinson  what happened?,emapatinson happen
